D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,1111,F,FIRST DEGREE STATUTORY SEX OFF,14-27.29,20151201,99999999,B1,20151201,99999999,No,20151201,0,
 ,1112,F,STAT SEX OFF WITH CHILD <= 15,14-27.30(A),20151201,99999999,B1,20151201,99999999,No,20151201,0,
 ,1113,F,STAT SEX OFF WITH CHILD <= 15,14-27.30(B),20151201,99999999,C,20151201,99999999,No,20151201,0,
 ,1114,F,SEX CONT PENET MED TREATMENT,14-27.33A,20191201,99999999,C,20191201,99999999,No,20191201,0,
 ,1115,F,INDECENT LIBERTIES STUDENT,14-202.4(B),20151201,99999999,I,20151201,20231130,No,20231130,1,
 ,1115,F,INDECENT LIBERTIES STUDENT,14-202.4(B),20151201,99999999,G,20231201,99999999,No,20231201,0,
 ,1116,F,FIRST DEGREE SEX OFFENSE CHILD,14-27.4(A)(1),00000000,20151130,B1,19941001,20151130,No,20151130,1,
 ,1117,F,INDECENT LIBERTIES STUDENT (F),14-202.4(A),19991201,99999999,I,19991201,20231130,No,20231130,1,
 ,1117,F,INDECENT LIBERTIES STUDENT (F),14-202.4(A),19991201,99999999,G,20231201,99999999,No,20231201,0,
 ,1118,F,INDECENT LIBERTIES WITH CHILD,14-202.1,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,1119,M,INDECENT LIBERTIES STUDENT (M),14-202.4(B),19991201,20151130,A1,19991201,20151130,No,20151130,1,
 ,1120,F,FIRST DEGREE RAPE CHILD,14-27.2(A)(1),00000000,20151130,B1,19941001,20151130,No,20151130,1,
 ,1121,F,SEX ACT WITH A STUDENT,14-27.32(A),20151201,99999999,G,20151201,99999999,No,20151201,0,
 ,1122,F,SECOND DEGREE RAPE,14-27.3(A),00000000,20151130,C,19941001,20151130,No,20151130,1,
 ,1123,F,ATTEMPT SEX ACT WITH A STUDENT,14-27.32(A),20151201,99999999,H,20151201,99999999,No,20151201,0,
